Period,Time,Strength,Team,Shooter,Shot Type?,A1,A2,A3,A1 Zone,A2 Zone,A3 Zone,SC?,SOG?,Screen,Situation,Origin,Oddman,G?,Home Score State,Goalie,Game ID,Date,Home:,Away: ,ShooterPlayerId,A1PlayerId,A2PlayerId,A3PlayerId
1,12:39,5v5,EDM,97.0,A,,,,,,,y,y,,f,oz,,y,0,41,21006,3/6/2023,BUF,EDM,8478402,,,
1,12:11,5v5,BUF,10.0,w,,,,,,,,,,f,oz,,,-1,74,21006,3/6/2023,BUF,EDM,8473534,,,
1,11:54,5v5,EDM,29.0,w,93.0,2.0,56.0,oc,oc,nr,y,y,,r,dz,,,-1,41,21006,3/6/2023,BUF,EDM,8476886,8476454.0,8477384.0,8474719.0
1,10:44,5v4,BUF,71.0,o,26.0,72.0,26.0,ol,opl,ol,,y,,,,,,-1,74,21006,3/6/2023,BUF,EDM,8480802,8480839.0,8479420.0,8480839.0
1,10:39,5v4,BUF,71.0,w,26.0,72.0,,ol,ol,,y,y,,,,,,-1,74,21006,3/6/2023,BUF,EDM,8480802,8480839.0,8479420.0,
1,10:28,5v4,BUF,53.0,t,26.0,71.0,,or,opr,,y,y,y,,,,,-1,74,21006,3/6/2023,BUF,EDM,8475784,8480839.0,8480802.0,
1,10:22,5v4,BUF,72.0,w,24.0,,,ol,,,y,y,,,,,,-1,74,21006,3/6/2023,BUF,EDM,8479420,8469820.0,,
1,10:15,5v4,BUF,53.0,o,72.0,53.0,72.0,orrr,oelc,ol,y,y,,,,,y,-1,74,21006,3/6/2023,BUF,EDM,8475784,8479420.0,8475784.0,8479420.0
1,9:07,5v5,EDM,14.0,W,19.0,,,opr,,,,y,,f,oz,,,0,41,21006,3/6/2023,BUF,EDM,8475218,8475156.0,,
1,8:59,5v5,EDM,2.0,T,14.0,29.0,2.0,or,opr,or,,,,c,oz,,,0,41,21006,3/6/2023,BUF,EDM,8477384,8475218.0,8476886.0,8477384.0
1,7:31,5v5,EDM,18.0,w,,,,,,,y,y,,f,oz,,,0,41,21006,3/6/2023,BUF,EDM,8475786,,,
1,7:14,5v4,EDM,93.0,w,2.0,,,or,,,y,y,,,,,,0,41,21006,3/6/2023,BUF,EDM,8476454,8477384.0,,
1,6:22,5v4,EDM,2.0,O,93.0,97.0,,opl,or,,,y,y,,,,,0,41,21006,3/6/2023,BUF,EDM,8477384,8476454.0,8478402.0,
1,6:14,5v4,EDM,18.0,w,93.0,,,ol,,,y,y,,,,,,0,41,21006,3/6/2023,BUF,EDM,8475786,8476454.0,,
1,5:45,5v4,EDM,2.0,o,29.0,2.0,97.0,opr,oc,opl,,,,,,,,0,41,21006,3/6/2023,BUF,EDM,8477384,8476886.0,8477384.0,8478402.0
1,5:38,5v4,EDM,25.0,w,71.0,,,opr,,,,,,,,,,0,41,21006,3/6/2023,BUF,EDM,8476495,8480802.0,,
1,5:30,5v4,EDM,25.0,o,56.0,,,opl,,,,y,y,,,,,0,41,21006,3/6/2023,BUF,EDM,8476495,8474719.0,,
1,5:24,5v4,EDM,71.0,w,25.0,,,oc,,,,,,,,,,0,41,21006,3/6/2023,BUF,EDM,8480802,8476495.0,,
1,4:45,5v5,EDM,72.0,W,,,,,,,,y,,f,oz,,,0,41,21006,3/6/2023,BUF,EDM,8477249,,,
1,3:58,5v5,BUF,53.0,w,22.0,,,dc,,,,y,,r,dz,,,0,74,21006,3/6/2023,BUF,EDM,8475784,8476356.0,,
1,3:40,5v5,BUF,29.0,O,24.0,78.0,24.0,or,or,or,,,,r,nz,,,0,74,21006,3/6/2023,BUF,EDM,8469506,8469820.0,8480196.0,8469820.0
1,3:34,5v5,BUF,24.0,o,29.0,,,oelc,,,y,,,f,oz,,,0,74,21006,3/6/2023,BUF,EDM,8469820,8469506.0,,
1,2:56,5v5,EDM,73.0,w,27.0,,,or,,,,y,,f,oz,,,0,41,21006,3/6/2023,BUF,EDM,8477454,8476850.0,,
1,2:44,5v5,EDM,27.0,s,73.0,,,or,,,,,,f,oz,,,0,41,21006,3/6/2023,BUF,EDM,8476850,8477454.0,,
1,2:35,5v5,EDM,73.0,w,37.0,,,ol,,,y,,,f,oz,,,0,41,21006,3/6/2023,BUF,EDM,8477454,8471402.0,,
1,2:13,5v5,EDM,18.0,t,2.0,97.0,18.0,ol,opl,or,,,,c,oz,,,0,41,21006,3/6/2023,BUF,EDM,8475786,8477384.0,8478402.0,8475786.0
1,1:41,5v5,EDM,18.0,w,2.0,,,dr,,,,,,r,dz,,,0,41,21006,3/6/2023,BUF,EDM,8475786,8477384.0,,
1,1:19,5v5,EDM,19.0,T,10.0,,,ol,,,y,y,,r,nz,,,0,41,21006,3/6/2023,BUF,EDM,8475156,8481638.0,,
1,0:58,5v5,BUF,53.0,B,,,,,,,y,y,,r,dz,,,0,74,21006,3/6/2023,BUF,EDM,8475784,,,
1,0:39,5v5,BUF,72.0,b,53.0,22.0,,nc,dr,,y,y,,r,dz,,,0,74,21006,3/6/2023,BUF,EDM,8479420,8475784.0,8476356.0,
2,18:38,5v5,BUF,37.0,w,24.0,26.0,,dl,dl,,y,y,,r,dz,,,0,74,21006,3/6/2023,BUF,EDM,8478043,8469820.0,8480839.0,
2,16:25,5v5,EDM,2.0,S,14.0,2.0,14.0,ol,or,ol,,y,y,c,oz,,,0,41,21006,3/6/2023,BUF,EDM,8477384,8475218.0,8477384.0,8475218.0
2,15:15,5v5,BUF,72.0,w,22.0,26.0,,nr,dsr,,y,y,,r,dz,,,0,74,21006,3/6/2023,BUF,EDM,8479420,8476356.0,8480839.0,
2,15:10,5v5,BUF,53.0,w,22.0,26.0,72.0,oc,ol,opl,y,y,,c,oz,,,0,74,21006,3/6/2023,BUF,EDM,8475784,8476356.0,8480839.0,8479420.0
2,15:02,5v5,BUF,29.0,o,37.0,46.0,29.0,opr,or,ofp,,y,,,,,,0,74,21006,3/6/2023,BUF,EDM,8469506,8478043.0,8477974.0,8469506.0
2,14:39,5v5,BUF,77.0,W,10.0,,,dr,,,,y,,r,dz,,,0,74,21006,3/6/2023,BUF,EDM,8482175,8473534.0,,
2,13:41,5v5,EDM,21.0,o,25.0,5.0,,ol,or,,,,,c,oz,,,0,41,21006,3/6/2023,BUF,EDM,8466333,8476495.0,8471816.0,
2,12:41,5v5,BUF,24.0,w,12.0,46.0,,orrr,or,,y,y,,c,oz,,,0,74,21006,3/6/2023,BUF,EDM,8469820,8478413.0,8477974.0,
2,11:23,5v5,BUF,22.0,w,72.0,53.0,46.0,ol,ol,dr,,y,,c,oz,,,0,74,21006,3/6/2023,BUF,EDM,8476356,8479420.0,8475784.0,8477974.0
